1;arms_factory;2947.00;13.50;1366.00;0.69;0
1;arms_factory;2947.00;13.50;1366.00;1.90;0
1;arms_factory;2950.00;11.53;1358.00;4.91;0
1;arms_factory;2945.00;9.73;1360.00;1.29;0
1;arms_factory;2949.00;9.73;1373.00;3.96;0
1;arms_factory;2945.00;10.53;1371.00;0.34;0
1;industrial_complex;2948.00;9.80;1354.00;3.36;0
1;industrial_complex;2953.00;10.60;1366.00;4.57;0
1;industrial_complex;2953.00;10.60;1366.00;2.41;0
1;industrial_complex;2944.00;11.07;1367.00;0.25;0
1;industrial_complex;2947.00;10.23;1359.00;0.35;0
1;industrial_complex;2948.00;10.95;1359.00;4.47;0
1;air_base;2947.00;11.32;1362.00;0.85;0
1;naval_base;2954.00;9.70;1370.00;0.98;5579
1;naval_base;2948.00;9.50;1351.00;-0.79;5579
1;naval_base;2940.00;9.50;1365.00;-1.19;5579
1;bunker;2952.00;11.32;1367.00;5.58;0
1;bunker;2943.00;10.30;1365.00;0.86;0
1;bunker;2950.00;12.15;1362.00;3.52;0
1;coastal_bunker;2955.00;9.55;1365.00;0.98;0
1;coastal_bunker;2940.00;9.50;1360.00;-0.79;0
1;coastal_bunker;2941.00;9.50;1364.00;-1.19;0
1;dockyard;2953.00;9.57;1373.00;0.98;0
1;anti_air_building;2952.00;11.23;1368.00;2.48;0
1;anti_air_building;2944.00;11.07;1367.00;4.03;0
1;anti_air_building;2945.00;11.82;1367.00;0.41;0
1;synthetic_refinery;2949.00;12.00;1360.00;3.08;0
1;fuel_silo;2949.00;12.00;1360.00;0.92;0
1;radar_station;2948.00;13.38;1365.00;3.48;0
1;rocket_site;2950.00;12.30;1363.00;5.15;0
1;nuclear_reactor;2949.00;10.15;1355.00;2.98;0
2;arms_factory;3003.00;9.70;1356.00;1.29;0
2;arms_factory;3005.00;10.93;1370.00;3.96;0
2;arms_factory;3024.00;11.43;1353.00;0.34;0
2;arms_factory;3020.00;12.30;1361.00;3.36;0
2;arms_factory;3011.00;10.82;1356.00;4.57;0
2;arms_factory;3022.00;11.15;1354.00;2.41;0
2;industrial_complex;3006.00;10.15;1357.00;0.25;0
2;industrial_complex;3002.00;10.40;1371.00;0.35;0
2;industrial_complex;3006.00;9.55;1352.00;4.47;0
2;industrial_complex;3014.00;12.43;1362.00;0.85;0
2;industrial_complex;3002.00;10.53;1372.00;3.87;0
2;industrial_complex;3019.00;11.03;1355.00;5.08;0
2;air_base;3009.00;10.80;1358.00;2.92;0
2;naval_base;3013.00;9.50;1348.00;0.32;1452
2;naval_base;3022.00;9.50;1347.00;0.17;1452
2;naval_base;3004.00;9.50;1352.00;-0.59;5656
2;bunker;3000.00;10.65;1373.00;1.36;0
2;bunker;3009.00;10.53;1356.00;4.03;0
2;bunker;3005.00;10.25;1363.00;5.59;0
2;bunker;3013.00;12.18;1361.00;3.42;0
2;bunker;3021.00;9.75;1349.00;4.64;0
2;coastal_bunker;3020.00;9.50;1348.00;0.32;0
2;coastal_bunker;3020.00;9.50;1347.00;0.17;0
2;coastal_bunker;3001.00;9.50;1354.00;-0.59;0
2;dockyard;3019.00;9.50;1348.00;0.32;0
2;anti_air_building;3005.00;10.65;1368.00;1.02;0
2;anti_air_building;3010.00;11.98;1366.00;5.15;0
2;anti_air_building;3016.00;12.35;1360.00;2.98;0
2;synthetic_refinery;3011.00;10.48;1354.00;4.54;0
2;fuel_silo;3006.00;10.50;1363.00;0.92;0
2;radar_station;3011.00;11.70;1362.00;4.89;0
2;rocket_site;3012.00;10.82;1355.00;1.43;0
2;nuclear_reactor;3021.00;9.75;1349.00;1.53;0
3;arms_factory;2924.00;10.57;1463.00;0.34;0
3;arms_factory;2920.00;12.88;1446.00;3.36;0
3;arms_factory;2933.00;14.00;1455.00;4.57;0
3;arms_factory;2918.00;12.78;1452.00;2.41;0
3;arms_factory;2931.00;12.98;1461.00;0.25;0
3;arms_factory;2925.00;14.48;1452.00;0.35;0
3;industrial_complex;2927.00;16.05;1440.00;4.47;0
3;industrial_complex;2926.00;14.07;1455.00;0.85;0
3;industrial_complex;2924.00;13.80;1445.00;3.87;0
3;industrial_complex;2932.00;14.28;1454.00;5.08;0
3;industrial_complex;2923.00;13.38;1446.00;2.92;0
3;industrial_complex;2930.00;13.05;1460.00;5.58;0
3;air_base;2920.00;13.88;1452.00;0.86;0
3;bunker;2931.00;15.57;1448.00;3.52;0
3;bunker;2919.00;12.18;1445.00;1.36;0
3;bunker;2926.00;16.25;1440.00;4.03;0
3;bunker;2921.00;13.98;1453.00;5.59;0
3;bunker;2924.00;10.82;1464.00;3.42;0
3;bunker;2933.00;15.15;1453.00;4.64;0
3;anti_air_building;2932.00;13.78;1460.00;4.03;0
3;anti_air_building;2929.00;13.73;1454.00;0.41;0
3;anti_air_building;2933.00;15.65;1448.00;3.08;0
3;synthetic_refinery;2927.00;12.40;1459.00;0.92;0
3;fuel_silo;2921.00;12.95;1445.00;1.02;0
3;radar_station;2927.00;14.82;1451.00;6.07;0
